entrez_gene_id	gene_symbol	gene_name	positive	sources	testing
175	AGA	aspartylglucosaminidase	0		0
176	ACAN	aggrecan	0		1
177	AGER	advanced glycosylation end product-specific receptor	0		1
178	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	0		0
181	AGRP	agouti related neuropeptide	0		0
182	JAG1	jagged 1	0		1
183	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	1	DisGeNET	0
185	AGTR1	angiotensin II receptor, type 1	0		0
186	AGTR2	angiotensin II receptor, type 2	0		0
187	APLNR	apelin receptor	0		1
189	AGXT	alanine-glyoxylate aminotransferase	0		0
190	NR0B1	nuclear receptor subfamily 0, group B, member 1	0		0
191	AHCY	adenosylhomocysteinase	0		0
196	AHR	aryl hydrocarbon receptor	0		0
197	AHSG	alpha-2-HS-glycoprotein	1	DISEASES	0
199	AIF1	allograft inflammatory factor 1	1	DisGeNET	0
202	AIM1	absent in melanoma 1	0		1
203	AK1	adenylate kinase 1	0		0
204	AK2	adenylate kinase 2	0		0
205	AK4	adenylate kinase 4	0		1
207	AKT1	v-akt murine thymoma viral oncogene homolog 1	1	DisGeNET	0
208	AKT2	v-akt murine thymoma viral oncogene homolog 2	0		0
210	ALAD	aminolevulinate dehydratase	1	DisGeNET	0
211	ALAS1	5'-aminolevulinate synthase 1	0		0
212	ALAS2	5'-aminolevulinate synthase 2	0		0
213	ALB	albumin	1	DisGeNET	0
214	ALCAM	activated leukocyte cell adhesion molecule	0		1
215	ABCD1	ATP-binding cassette, sub-family D (ALD), member 1	0		1
216	ALDH1A1	aldehyde dehydrogenase 1 family, member A1	0		0
217	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	0		0
218	ALDH3A1	aldehyde dehydrogenase 3 family, member A1	0		1
219	ALDH1B1	aldehyde dehydrogenase 1 family, member B1	0		0
220	ALDH1A3	aldehyde dehydrogenase 1 family, member A3	0		1
221	ALDH3B1	aldehyde dehydrogenase 3 family, member B1	0		0
222	ALDH3B2	aldehyde dehydrogenase 3 family, member B2	0		0
223	ALDH9A1	aldehyde dehydrogenase 9 family, member A1	0		0
224	ALDH3A2	aldehyde dehydrogenase 3 family, member A2	0		0
225	ABCD2	ATP-binding cassette, sub-family D (ALD), member 2	0		0
226	ALDOA	aldolase A, fructose-bisphosphate	0		0
229	ALDOB	aldolase B, fructose-bisphosphate	0		0
230	ALDOC	aldolase C, fructose-bisphosphate	0		1
231	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	0		0
238	ALK	anaplastic lymphoma receptor tyrosine kinase	0		0
239	ALOX12	arachidonate 12-lipoxygenase	0		0
240	ALOX5	arachidonate 5-lipoxygenase	0		0
241	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	0		0
242	ALOX12B	arachidonate 12-lipoxygenase, 12R type	0		0
246	ALOX15	arachidonate 15-lipoxygenase	0		0
247	ALOX15B	arachidonate 15-lipoxygenase, type B	0		0
248	ALPI	alkaline phosphatase, intestinal	0		0
249	ALPL	alkaline phosphatase, liver/bone/kidney	0		0
250	ALPP	alkaline phosphatase, placental	0		1
251	ALPPL2	alkaline phosphatase, placental-like 2	0		0
257	ALX3	ALX homeobox 3	0		0
258	AMBN	ameloblastin (enamel matrix protein)	0		1
259	AMBP	alpha-1-microglobulin/bikunin precursor	0		0
262	AMD1	adenosylmethionine decarboxylase 1	0		1
265	AMELX	amelogenin, X-linked	0		0
266	AMELY	amelogenin, Y-linked	0		0
267	AMFR	autocrine motility factor receptor, E3 ubiquitin protein ligase	0		0
268	AMH	anti-Mullerian hormone	0		0
269	AMHR2	anti-Mullerian hormone receptor, type II	0		0
270	AMPD1	adenosine monophosphate deaminase 1	0		1
271	AMPD2	adenosine monophosphate deaminase 2	0		0
272	AMPD3	adenosine monophosphate deaminase 3	0		0
273	AMPH	amphiphysin	0		0
274	BIN1	bridging integrator 1	0		0
275	AMT	aminomethyltransferase	0		0
276	AMY1A	amylase, alpha 1A (salivary)	0		1
277	AMY1B	amylase, alpha 1B (salivary)	0		1
278	AMY1C	amylase, alpha 1C (salivary)	0		0
279	AMY2A	amylase, alpha 2A (pancreatic)	0		0
280	AMY2B	amylase, alpha 2B (pancreatic)	0		0
283	ANG	angiogenin, ribonuclease, RNase A family, 5	0		0
284	ANGPT1	angiopoietin 1	0		0
285	ANGPT2	angiopoietin 2	0		1
286	ANK1	ankyrin 1, erythrocytic	0		0
287	ANK2	ankyrin 2, neuronal	0		0
288	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	1	DisGeNET	0
290	ANPEP	alanyl (membrane) aminopeptidase	0		0
291	SLC25A4	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	0		0
292	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	0		0
293	SLC25A6	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	0		0
301	ANXA1	annexin A1	0		1
302	ANXA2	annexin A2	0		0
306	ANXA3	annexin A3	0		1
307	ANXA4	annexin A4	0		0
308	ANXA5	annexin A5	0		1
309	ANXA6	annexin A6	0		0
310	ANXA7	annexin A7	0		1
311	ANXA11	annexin A11	0		0
312	ANXA13	annexin A13	0		1
313	AOAH	acyloxyacyl hydrolase (neutrophil)	0		0
314	AOC2	amine oxidase, copper containing 2 (retina-specific)	0		0
316	AOX1	aldehyde oxidase 1	0		0
317	APAF1	apoptotic peptidase activating factor 1	0		0
318	NUDT2	nudix (nucleoside diphosphate linked moiety X)-type motif 2	0		0
319	APOF	apolipoprotein F	0		0
320	APBA1	amyloid beta (A4) precursor protein-binding, family A, member 1	0		0
321	APBA2	amyloid beta (A4) precursor protein-binding, family A, member 2	0		1
322	APBB1	amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)	0		0
323	APBB2	amyloid beta (A4) precursor protein-binding, family B, member 2	0		0
324	APC	adenomatous polyposis coli	0		0
325	APCS	amyloid P component, serum	0		1
326	AIRE	autoimmune regulator	0		0
327	APEH	acylaminoacyl-peptide hydrolase	0		1
328	APEX1	APEX nuclease (multifunctional DNA repair enzyme) 1	1	DisGeNET	1
329	BIRC2	baculoviral IAP repeat containing 2	0		0
330	BIRC3	baculoviral IAP repeat containing 3	0		1
331	XIAP	X-linked inhibitor of apoptosis, E3 ubiquitin protein ligase	0		0
332	BIRC5	baculoviral IAP repeat containing 5	0		0
333	APLP1	amyloid beta (A4) precursor-like protein 1	0		1
334	APLP2	amyloid beta (A4) precursor-like protein 2	0		0
335	APOA1	apolipoprotein A-I	0		0
336	APOA2	apolipoprotein A-II	0		0
337	APOA4	apolipoprotein A-IV	0		0
338	APOB	apolipoprotein B	0		0
339	APOBEC1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	0		0
341	APOC1	apolipoprotein C-I	0		0
343	AQP8	aquaporin 8	0		0
344	APOC2	apolipoprotein C-II	0		1
345	APOC3	apolipoprotein C-III	0		1
346	APOC4	apolipoprotein C-IV	0		0
347	APOD	apolipoprotein D	1	DisGeNET	0
348	APOE	apolipoprotein E	1	DOAF	0
350	APOH	apolipoprotein H (beta-2-glycoprotein I)	0		0
351	APP	amyloid beta (A4) precursor protein	0		1
353	APRT	adenine phosphoribosyltransferase	0		1
354	KLK3	kallikrein-related peptidase 3	0		0
355	FAS	Fas cell surface death receptor	0		0
356	FASLG	Fas ligand (TNF superfamily, member 6)	0		0
357	SHROOM2	shroom family member 2	0		0
358	AQP1	aquaporin 1 (Colton blood group)	1	DisGeNET	0
359	AQP2	aquaporin 2 (collecting duct)	0		0
360	AQP3	aquaporin 3 (Gill blood group)	0		0
361	AQP4	aquaporin 4	1	DisGeNET	0
362	AQP5	aquaporin 5	0		1
363	AQP6	aquaporin 6, kidney specific	0		1
364	AQP7	aquaporin 7	0		1
366	AQP9	aquaporin 9	0		0
367	AR	androgen receptor	0		1
368	ABCC6	ATP-binding cassette, sub-family C (CFTR/MRP), member 6	0		0
369	ARAF	A-Raf proto-oncogene, serine/threonine kinase	0		0
372	ARCN1	archain 1	0		0
373	TRIM23	tripartite motif containing 23	0		0
374	AREG	amphiregulin	0		1
375	ARF1	ADP-ribosylation factor 1	0		1
377	ARF3	ADP-ribosylation factor 3	0		0
378	ARF4	ADP-ribosylation factor 4	0		0
379	ARL4D	ADP-ribosylation factor-like 4D	0		0
381	ARF5	ADP-ribosylation factor 5	0		0
382	ARF6	ADP-ribosylation factor 6	0		0
383	ARG1	arginase 1	0		0
384	ARG2	arginase 2	0		0
387	RHOA	ras homolog family member A	0		0
388	RHOB	ras homolog family member B	0		0
389	RHOC	ras homolog family member C	0		1
390	RND3	Rho family GTPase 3	0		0
391	RHOG	ras homolog family member G	0		0
392	ARHGAP1	Rho GTPase activating protein 1	0		1
393	ARHGAP4	Rho GTPase activating protein 4	0		0
394	ARHGAP5	Rho GTPase activating protein 5	0		1
395	ARHGAP6	Rho GTPase activating protein 6	0		0
396	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	0		1
397	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	0		0
398	ARHGDIG	Rho GDP dissociation inhibitor (GDI) gamma	0		0
399	RHOH	ras homolog family member H	0		1
400	ARL1	ADP-ribosylation factor-like 1	0		0
401	PHOX2A	paired-like homeobox 2a	0		0
402	ARL2	ADP-ribosylation factor-like 2	0		0
403	ARL3	ADP-ribosylation factor-like 3	0		0
405	ARNT	aryl hydrocarbon receptor nuclear translocator	0		0
406	ARNTL	aryl hydrocarbon receptor nuclear translocator-like	0		0
407	ARR3	arrestin 3, retinal (X-arrestin)	0		0
408	ARRB1	arrestin, beta 1	0		0
409	ARRB2	arrestin, beta 2	0		0
410	ARSA	arylsulfatase A	0		1
411	ARSB	arylsulfatase B	0		0
412	STS	steroid sulfatase (microsomal), isozyme S	0		0
414	ARSD	arylsulfatase D	0		1
415	ARSE	arylsulfatase E (chondrodysplasia punctata 1)	0		0
416	ARSF	arylsulfatase F	0		0
417	ART1	ADP-ribosyltransferase 1	0		1
419	ART3	ADP-ribosyltransferase 3	0		0
420	ART4	ADP-ribosyltransferase 4 (Dombrock blood group)	0		0
421	ARVCF	armadillo repeat gene deleted in velocardiofacial syndrome	0		1
427	ASAH1	N-acylsphingosine amidohydrolase (acid ceramidase) 1	1	DISEASES	0
429	ASCL1	achaete-scute family bHLH transcription factor 1	1	DisGeNET	1
430	ASCL2	achaete-scute family bHLH transcription factor 2	0		0
432	ASGR1	asialoglycoprotein receptor 1	0		1
433	ASGR2	asialoglycoprotein receptor 2	0		0
434	ASIP	agouti signaling protein	0		0
435	ASL	argininosuccinate lyase	0		1
438	ASMT	acetylserotonin O-methyltransferase	0		0
439	ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	0		0
440	ASNS	asparagine synthetase (glutamine-hydrolyzing)	0		0
443	ASPA	aspartoacylase	0		0
444	ASPH	aspartate beta-hydroxylase	0		0
445	ASS1	argininosuccinate synthase 1	0		0
460	ASTN1	astrotactin 1	0		1
462	SERPINC1	serpin peptidase inhibitor, clade C (antithrombin), member 1	0		1
463	ZFHX3	zinc finger homeobox 3	0		1
466	ATF1	activating transcription factor 1	0		1
467	ATF3	activating transcription factor 3	0		0
468	ATF4	activating transcription factor 4	0		1
471	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	1	DISEASES	0
472	ATM	ATM serine/threonine kinase	1	DisGeNET	1
473	RERE	arginine-glutamic acid dipeptide (RE) repeats	0		1
474	ATOH1	atonal homolog 1 (Drosophila)	0		1
475	ATOX1	antioxidant 1 copper chaperone	0		0
476	ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide	0		0
477	ATP1A2	ATPase, Na+/K+ transporting, alpha 2 polypeptide	0		0
478	ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide	0		0
479	ATP12A	ATPase, H+/K+ transporting, nongastric, alpha polypeptide	0		0
480	ATP1A4	ATPase, Na+/K+ transporting, alpha 4 polypeptide	0		0
481	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	0		0
482	ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide	0		1
483	ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide	0		0
486	FXYD2	FXYD domain containing ion transport regulator 2	0		0
487	ATP2A1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	0		0
488	ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	1	DisGeNET	0
489	ATP2A3	ATPase, Ca++ transporting, ubiquitous	0		1
490	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	0		0
491	ATP2B2	ATPase, Ca++ transporting, plasma membrane 2	0		0
492	ATP2B3	ATPase, Ca++ transporting, plasma membrane 3	0		0
493	ATP2B4	ATPase, Ca++ transporting, plasma membrane 4	0		0
495	ATP4A	ATPase, H+/K+ exchanging, alpha polypeptide	0		1
496	ATP4B	ATPase, H+/K+ exchanging, beta polypeptide	0		0
498	ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle	0		0
501	ALDH7A1	aldehyde dehydrogenase 7 family, member A1	1	DISEASES	0
506	ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	0		0
509	ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	0		0
513	ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	0		0
514	ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit	0		1
515	ATP5F1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1	0		0
516	ATP5G1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)	0		0
517	ATP5G2	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)	0		1
518	ATP5G3	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)	0		0
521	ATP5I	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E	0		0
522	ATP5J	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6	0		1
523	ATP6V1A	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A	0		1
525	ATP6V1B1	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B1	0		0
526	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	0		0
527	ATP6V0C	ATPase, H+ transporting, lysosomal 16kDa, V0 subunit c	0		0
528	ATP6V1C1	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	0		0
529	ATP6V1E1	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1	0		0
533	ATP6V0B	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b	0		0
534	ATP6V1G2	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2	0		1
535	ATP6V0A1	ATPase, H+ transporting, lysosomal V0 subunit a1	0		0
537	ATP6AP1	ATPase, H+ transporting, lysosomal accessory protein 1	0		0
538	ATP7A	ATPase, Cu++ transporting, alpha polypeptide	0		0
539	ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	0		1
540	ATP7B	ATPase, Cu++ transporting, beta polypeptide	0		1
545	ATR	ATR serine/threonine kinase	0		0
546	ATRX	alpha thalassemia/mental retardation syndrome X-linked	0		0
547	KIF1A	kinesin family member 1A	0		0
549	AUH	AU RNA binding protein/enoyl-CoA hydratase	0		1
550	AUP1	ancient ubiquitous protein 1	0		0
551	AVP	arginine vasopressin	1	DisGeNET	0
552	AVPR1A	arginine vasopressin receptor 1A	0		0
553	AVPR1B	arginine vasopressin receptor 1B	0		0
554	AVPR2	arginine vasopressin receptor 2	0		0
558	AXL	AXL receptor tyrosine kinase	0		1
563	AZGP1	alpha-2-glycoprotein 1, zinc-binding	0		1
566	AZU1	azurocidin 1	0		0
567	B2M	beta-2-microglobulin	0		1
570	BAAT	bile acid CoA:amino acid N-acyltransferase	0		1
571	BACH1	BTB and CNC homology 1, basic leucine zipper transcription factor 1	0		1
572	BAD	BCL2-associated agonist of cell death	0		0
573	BAG1	BCL2-associated athanogene	0		1
574	BAGE	B melanoma antigen	0		0
575	ADGRB1	adhesion G protein-coupled receptor B1	0		1
576	ADGRB2	adhesion G protein-coupled receptor B2	0		1
577	ADGRB3	adhesion G protein-coupled receptor B3	0		0
578	BAK1	BCL2-antagonist/killer 1	0		1
579	NKX3-2	NK3 homeobox 2	0		0
580	BARD1	BRCA1 associated RING domain 1	0		1
581	BAX	BCL2-associated X protein	0		0
582	BBS1	Bardet-Biedl syndrome 1	0		0
583	BBS2	Bardet-Biedl syndrome 2	0		1
585	BBS4	Bardet-Biedl syndrome 4	0		0
586	BCAT1	branched chain amino-acid transaminase 1, cytosolic	0		0
587	BCAT2	branched chain amino-acid transaminase 2, mitochondrial	0		0
590	BCHE	butyrylcholinesterase	1	DisGeNET	0
593	BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide	0		0
594	BCKDHB	branched chain keto acid dehydrogenase E1, beta polypeptide	0		0
595	CCND1	cyclin D1	0		0
596	BCL2	B-cell CLL/lymphoma 2	1	DisGeNET	1
597	BCL2A1	BCL2-related protein A1	0		0
598	BCL2L1	BCL2-like 1	0		1
599	BCL2L2	BCL2-like 2	0		0
602	BCL3	B-cell CLL/lymphoma 3	0		0
604	BCL6	B-cell CLL/lymphoma 6	0		1
605	BCL7A	B-cell CLL/lymphoma 7A	0		0
607	BCL9	B-cell CLL/lymphoma 9	0		0
608	TNFRSF17	tumor necrosis factor receptor superfamily, member 17	0		1
610	HCN2	hyperpolarization activated cyclic nucleotide gated potassium channel 2	0		0
611	OPN1SW	opsin 1 (cone pigments), short-wave-sensitive	0		1
613	BCR	breakpoint cluster region	0		0
617	BCS1L	BC1 (ubiquinol-cytochrome c reductase) synthesis-like	0		0
622	BDH1	3-hydroxybutyrate dehydrogenase, type 1	0		0
623	BDKRB1	bradykinin receptor B1	1	DisGeNET	0
624	BDKRB2	bradykinin receptor B2	1	DisGeNET	0
627	BDNF	brain-derived neurotrophic factor	1	DISEASES, DOAF, DisGeNET	0
629	CFB	complement factor B	0		0
631	BFSP1	beaded filament structural protein 1, filensin	0		0
632	BGLAP	bone gamma-carboxyglutamate (gla) protein	0		0
633	BGN	biglycan	0		0
634	CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	0		0
635	BHMT	betaine--homocysteine S-methyltransferase	0		1
636	BICD1	bicaudal D homolog 1 (Drosophila)	0		1
637	BID	BH3 interacting domain death agonist	0		0
638	BIK	BCL2-interacting killer (apoptosis-inducing)	0		0
639	PRDM1	PR domain containing 1, with ZNF domain	0		1
640	BLK	BLK proto-oncogene, Src family tyrosine kinase	0		1
641	BLM	Bloom syndrome, RecQ helicase-like	0		0
642	BLMH	bleomycin hydrolase	0		0
643	CXCR5	chemokine (C-X-C motif) receptor 5	0		0
644	BLVRA	biliverdin reductase A	0		0
645	BLVRB	biliverdin reductase B	0		0
646	BNC1	basonuclin 1	0		1
648	BMI1	BMI1 proto-oncogene, polycomb ring finger	0		0
649	BMP1	bone morphogenetic protein 1	0		0
650	BMP2	bone morphogenetic protein 2	0		1
651	BMP3	bone morphogenetic protein 3	0		0
652	BMP4	bone morphogenetic protein 4	1	DisGeNET	1
653	BMP5	bone morphogenetic protein 5	0		1
654	BMP6	bone morphogenetic protein 6	0		1
655	BMP7	bone morphogenetic protein 7	0		0
656	BMP8B	bone morphogenetic protein 8b	0		1
657	BMPR1A	bone morphogenetic protein receptor, type IA	0		0
658	BMPR1B	bone morphogenetic protein receptor, type IB	0		0
659	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	0		0
660	BMX	BMX non-receptor tyrosine kinase	0		1
661	POLR3D	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa	0		0
662	BNIP1	BCL2/adenovirus E1B 19kDa interacting protein 1	0		1
663	BNIP2	BCL2/adenovirus E1B 19kDa interacting protein 2	0		1
664	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3	0		0
665	BNIP3L	BCL2/adenovirus E1B 19kDa interacting protein 3-like	0		0
666	BOK	BCL2-related ovarian killer	0		0
667	DST	dystonin	0		1
668	FOXL2	forkhead box L2	0		0
669	BPGM	2,3-bisphosphoglycerate mutase	0		1
670	BPHL	biphenyl hydrolase-like (serine hydrolase)	0		1
671	BPI	bactericidal/permeability-increasing protein	0		1
672	BRCA1	breast cancer 1, early onset	0		0
673	BRAF	B-Raf proto-oncogene, serine/threonine kinase	0		1
